stockSymbol|best1Bid|best1BidVol|best2Bid|best2BidVol|best3Bid|best3BidVol|best4Bid|best4BidVol|best5Bid|best5BidVol|best6Bid|best6BidVol|best7Bid|best7BidVol|best8Bid|best8BidVol|best9Bid|best9BidVol|best10Bid|best10BidVol|best1Offer|best1OfferVol|best2Offer|best2OfferVol|best3Offer|best3OfferVol|best4Offer|best4OfferVol|best5Offer|best5OfferVol|best6Offer|best6OfferVol|best7Offer|best7OfferVol|best8Offer|best8OfferVol|best9Offer|best9OfferVol|best10Offer|best10OfferVol|matchedPrice|matchedVolume|highest|exchange|lowest|avgPrice|buyForeignQtty|buyForeignValue|sellForeignQtty|sellForeignValue|priceChange|priceChangePercent|nmTotalTradedQty|nmTotalTradedValue|currentBidQty|currentOfferQty|openInterest|ceiling|floor|refPrice|maturityDate|session|caStatus|remainForeignQtty|stockType|tradingStatus|lastTradingDate|coveredWarrantType|underlyingSymbol|exercisePrice|listedShare|issuerName|issueDate|openPrice|lastMatchedPrice|prevINAV|iNAV|iNAVChange|iNAVChangePercent|iIndex|maturityTime|ptBestBidPrice|ptBestBidQtty|ptTotalBidQtty|ptBestOfferPrice|ptBestOfferQtty|ptMatchQtty|ptMatchPrice|ptMaxPrice|ptMaxQtty|ptMinPrice|ptMinQtty|ptTotalTradedQtty|ptTotalTradedValue|f1|f2|f3|f4|f5|lastTradedTime
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||67600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503493|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||68600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503494|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||68800||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503494|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||69600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503494|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||72600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503494|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||76600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503494|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||80600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503494|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||81600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503494|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||83100||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503494|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||83600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503494|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||85600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503494|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||98300||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503495|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||98800||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503495|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||103800||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503495|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||103900||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503495|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||104100||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503495|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||104600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503495|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||304600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503495|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||305100||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503495|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||315100||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503495|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||325100||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503495|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||325900||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503495|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||326900||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503495|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||327100||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503496|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||332100||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503496|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||350000||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503496|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||25000||350600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503588|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||26000||350600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503588|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||27000||350600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503813|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||29000||350600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646503814|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||29000||353100||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646504901|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||29000||360200||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646504901|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||29000||359600||||||||""||||""|""|""|1780100912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646504901|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||29000||360200||||||||""||||""|""|""|1780099312|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646505696|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||29000||360200||||||||""||||""|""|""|1780098312|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646505696|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||29000||360200||||||||""||||""|""|""|1780097912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646505696|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||30600||360200||||||||""||||""|""|""|1780097912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646505696|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||31600||360200||||||||""||||""|""|""|1780097912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646505699|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32000||360800||||||||""||||""|""|""|1780097912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646505925|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32000||361000||||||||""||||""|""|""|1780097912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646505926|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32000||361500||||||||""||||""|""|""|1780097912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646505926|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32000||361700||||||||""||||""|""|""|1780097912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646505926|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32000||361900||||||||""||||""|""|""|1780097912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646505927|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32000||362000||||||||""||||""|""|""|1780097912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646505959|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32000||392000||||||||""||||""|""|""|1780097912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646506045|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32000||392100||||||||""||||""|""|""|1780097912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646506275|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32000||392200||||||||""||||""|""|""|1780097912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646506275|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32000||394200||||||||""||||""|""|""|1780097912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646506276|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32000||394600||||||||""||||""|""|""|1780097912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646506276|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32000||394700||||||||""||||""|""|""|1780097912|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646506310|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32000||394700||||||||""||||""|""|""|1780097812|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646506312|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32100||394800||||||||""||||""|""|""|1780097812|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646506312|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32100||395700||||||||""||||""|""|""|1780097812|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646506315|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32100||395800||||||||""||||""|""|""|1780097812|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646506316|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32100||396300||||||||""||||""|""|""|1780097812|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646506316|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32100||397100||||||||""||||""|""|""|1780097812|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646506317|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32100||402200||||||||""||||""|""|""|1780097812|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646506317|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32100||403800||||||||""||||""|""|""|1780097812|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646506318|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32200||403800||||||||""||||""|""|""|1780097812|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646507958|||||
S#HPG||||||||||||||||||||||||||||||||||||||||||||""|||32600||403800||||||||""||||""|""|""|1780097812|""|""|""|""|""|||""|""||||||||""||||||||||||||1743646507959|||||
